region,loc_code,iso3,subregion,subregion_code,continent,continent_code
"China, Hong Kong Special Administrative Region",344,HKG,Eastern Asia,906,Asia,935
"China, Macao Special Administrative Region",446,MAC,Eastern Asia,906,Asia,935
Democratic People's Republic of Korea,408,PRK,Eastern Asia,906,Asia,935
Japan,392,JPN,Eastern Asia,906,Asia,935
Mongolia,496,MNG,Eastern Asia,906,Asia,935
Republic of Korea,410,KOR,Eastern Asia,906,Asia,935
Brunei Darussalam,96,BRN,South-eastern Asia,920,Asia,935
Cambodia,116,KHM,South-eastern Asia,920,Asia,935
Indonesia,360,IDN,South-eastern Asia,920,Asia,935
Lao People's Democratic Republic,418,LAO,South-eastern Asia,920,Asia,935
Malaysia,458,MYS,South-eastern Asia,920,Asia,935
Myanmar,104,MMR,South-eastern Asia,920,Asia,935
Philippines,608,PHL,South-eastern Asia,920,Asia,935
Singapore,702,SGP,South-eastern Asia,920,Asia,935
Thailand,764,THA,South-eastern Asia,920,Asia,935
Timor-Leste,626,TLS,South-eastern Asia,920,Asia,935
Viet Nam,704,VNM,South-eastern Asia,920,Asia,935
Afghanistan,4,AFG,Southern Asia,5501,Asia,935
Bangladesh,50,BGD,Southern Asia,5501,Asia,935
Bhutan,64,BTN,Southern Asia,5501,Asia,935
India,356,IND,Southern Asia,5501,Asia,935
Iran (Islamic Republic of),364,IRN,Southern Asia,5501,Asia,935
Maldives,462,MDV,Southern Asia,5501,Asia,935
Nepal,524,NPL,Southern Asia,5501,Asia,935
Pakistan,586,PAK,Southern Asia,5501,Asia,935
Sri Lanka,144,LKA,Southern Asia,5501,Asia,935
Armenia,51,ARM,Western Asia,922,Asia,935
Azerbaijan,31,AZE,Western Asia,922,Asia,935
Bahrain,48,BHR,Western Asia,922,Asia,935
Cyprus,196,CYP,Western Asia,922,Asia,935
Georgia,268,GEO,Western Asia,922,Asia,935
Iraq,368,IRQ,Western Asia,922,Asia,935
Israel,376,ISR,Western Asia,922,Asia,935
Jordan,400,JOR,Western Asia,922,Asia,935
Kuwait,414,KWT,Western Asia,922,Asia,935
Lebanon,422,LBN,Western Asia,922,Asia,935
Oman,512,OMN,Western Asia,922,Asia,935
Qatar,634,QAT,Western Asia,922,Asia,935
Saudi Arabia,682,SAU,Western Asia,922,Asia,935
State of Palestine,275,PSE,Western Asia,922,Asia,935
Syrian Arab Republic,760,SYR,Western Asia,922,Asia,935
Turkey,792,TUR,Western Asia,922,Asia,935
United Arab Emirates,784,ARE,Western Asia,922,Asia,935
Yemen,887,YEM,Western Asia,922,Asia,935
Eastern Europe,151,,Eastern Europe,923,Europe,908
Belarus,112,BLR,Eastern Europe,923,Europe,908
Bulgaria,100,BGR,Eastern Europe,923,Europe,908
Czechia,203,CZE,Eastern Europe,923,Europe,908
Hungary,348,HUN,Eastern Europe,923,Europe,908
Poland,616,POL,Eastern Europe,923,Europe,908
Republic of Moldova,498,MDA,Eastern Europe,923,Europe,908
Romania,642,ROU,Eastern Europe,923,Europe,908
Russian Federation,643,RUS,Eastern Europe,923,Europe,908
Slovakia,703,SVK,Eastern Europe,923,Europe,908
Ukraine,804,UKR,Eastern Europe,923,Europe,908
Åland Islands,248,ALA,Northern Europe,924,Europe,908
Channel Islands,830,,Northern Europe,924,Europe,908
Guernsey,831,GGY,Northern Europe,924,Europe,908
Jersey,832,JEY,Northern Europe,924,Europe,908
Sark,680,,Northern Europe,924,Europe,908
Denmark,208,DNK,Northern Europe,924,Europe,908
Estonia,233,EST,Northern Europe,924,Europe,908
Faroe Islands,234,FRO,Northern Europe,924,Europe,908
Finland,246,FIN,Northern Europe,924,Europe,908
Iceland,352,ISL,Northern Europe,924,Europe,908
Ireland,372,IRL,Northern Europe,924,Europe,908
Isle of Man,833,IMN,Northern Europe,924,Europe,908
Latvia,428,LVA,Northern Europe,924,Europe,908
Lithuania,440,LTU,Northern Europe,924,Europe,908
Norway,578,NOR,Northern Europe,924,Europe,908
Svalbard and Jan Mayen Islands,744,SJM,Northern Europe,924,Europe,908
Sweden,752,SWE,Northern Europe,924,Europe,908
United Kingdom of Great Britain and Northern Ireland,826,GBR,Northern Europe,924,Europe,908
Albania,8,ALB,Southern Europe,925,Europe,908
Andorra,20,AND,Southern Europe,925,Europe,908
Bosnia and Herzegovina,70,BIH,Southern Europe,925,Europe,908
Croatia,191,HRV,Southern Europe,925,Europe,908
Gibraltar,292,GIB,Southern Europe,925,Europe,908
Greece,300,GRC,Southern Europe,925,Europe,908
Holy See,336,VAT,Southern Europe,925,Europe,908
Italy,380,ITA,Southern Europe,925,Europe,908
Malta,470,MLT,Southern Europe,925,Europe,908
Montenegro,499,MNE,Southern Europe,925,Europe,908
North Macedonia,807,MKD,Southern Europe,925,Europe,908
Portugal,620,PRT,Southern Europe,925,Europe,908
San Marino,674,SMR,Southern Europe,925,Europe,908
Serbia,688,SRB,Southern Europe,925,Europe,908
Slovenia,705,SVN,Southern Europe,925,Europe,908
Spain,724,ESP,Southern Europe,925,Europe,908
Austria,40,AUT,Western Europe,926,Europe,908
Belgium,56,BEL,Western Europe,926,Europe,908
France,250,FRA,Western Europe,926,Europe,908
Germany,276,DEU,Western Europe,926,Europe,908
Liechtenstein,438,LIE,Western Europe,926,Europe,908
Luxembourg,442,LUX,Western Europe,926,Europe,908
Monaco,492,MCO,Western Europe,926,Europe,908
Netherlands,528,NLD,Western Europe,926,Europe,908
Switzerland,756,CHE,Western Europe,926,Europe,908
Australia,36,AUS,Australia and New Zealand,927,Oceania,909
Christmas Island,162,CXR,Australia and New Zealand,927,Oceania,909
Cocos (Keeling) Islands,166,CCK,Australia and New Zealand,927,Oceania,909
Heard Island and McDonald Islands,334,HMD,Australia and New Zealand,927,Oceania,909
New Zealand,554,NZL,Australia and New Zealand,927,Oceania,909
Norfolk Island,574,NFK,Australia and New Zealand,927,Oceania,909
Fiji,242,FJI,Melanesia,928,Oceania,909
New Caledonia,540,NCL,Melanesia,928,Oceania,909
Papua New Guinea,598,PNG,Melanesia,928,Oceania,909
Solomon Islands,90,SLB,Melanesia,928,Oceania,909
Vanuatu,548,VUT,Melanesia,928,Oceania,909
Micronesia,57,,Melanesia,928,Oceania,909
Guam,316,GUM,Melanesia,928,Oceania,909
Kiribati,296,KIR,Melanesia,928,Oceania,909
Marshall Islands,584,MHL,Melanesia,928,Oceania,909
Micronesia (Federated States of),583,FSM,Melanesia,928,Oceania,909
Nauru,520,NRU,Melanesia,928,Oceania,909
Northern Mariana Islands,580,MNP,Melanesia,928,Oceania,909
Palau,585,PLW,Melanesia,928,Oceania,909
United States Minor Outlying Islands,581,UMI,Melanesia,928,Oceania,909
American Samoa,16,ASM,Polynesia,957,Oceania,909
Cook Islands,184,COK,Polynesia,957,Oceania,909
French Polynesia,258,PYF,Polynesia,957,Oceania,909
Niue,570,NIU,Polynesia,957,Oceania,909
Pitcairn,612,PCN,Polynesia,957,Oceania,909
Samoa,882,WSM,Polynesia,957,Oceania,909
Tokelau,772,TKL,Polynesia,957,Oceania,909
Tonga,776,TON,Polynesia,957,Oceania,909
Tuvalu,798,TUV,Polynesia,957,Oceania,909
Wallis and Futuna Islands,876,WLF,Polynesia,957,Oceania,909
